dataset,pair_idx,protein,region,layer,mean_margin,final_model_prob1
real_PRS,0,protein2,n_term,0,-1.877402130762736,0.220563143491745
real_PRS,0,protein2,n_term,1,-1.848857875665029,0.220563143491745
real_PRS,0,protein2,n_term,2,-1.4541642983754477,0.220563143491745
real_PRS,0,protein2,n_term,3,-0.31497511863708494,0.220563143491745
real_PRS,0,protein2,n_term,4,-0.1487547794977824,0.220563143491745
real_PRS,0,protein2,n_term,5,0.2488317330678304,0.220563143491745
real_PRS,0,protein2,n_term,6,-0.12144114176432291,0.220563143491745
real_PRS,0,protein2,n_term,7,-0.17919727961222331,0.220563143491745
real_PRS,0,protein2,n_term,8,-0.21193073590596517,0.220563143491745
real_PRS,0,protein2,n_term,9,-0.14558483759562174,0.220563143491745
real_PRS,0,protein2,n_term,10,-0.5306727727254231,0.220563143491745
real_PRS,0,protein2,c_term,0,-1.5860268274943035,0.220563143491745
real_PRS,0,protein2,c_term,1,-1.5977343599001566,0.220563143491745
real_PRS,0,protein2,c_term,2,-1.0365748484929402,0.220563143491745
real_PRS,0,protein2,c_term,3,-1.107841157913208,0.220563143491745
real_PRS,0,protein2,c_term,4,-0.738652515411377,0.220563143491745
real_PRS,0,protein2,c_term,5,0.21495646635691326,0.220563143491745
real_PRS,0,protein2,c_term,6,0.006441561381022135,0.220563143491745
real_PRS,0,protein2,c_term,7,0.18154112497965494,0.220563143491745
real_PRS,0,protein2,c_term,8,0.2742523193359375,0.220563143491745
real_PRS,0,protein2,c_term,9,0.14102691014607746,0.220563143491745
real_PRS,0,protein2,c_term,10,0.10124556223551433,0.220563143491745
real_PRS,0,protein2,middle,0,-1.9194482167561848,0.220563143491745
real_PRS,0,protein2,middle,1,-1.8107259114583334,0.220563143491745
real_PRS,0,protein2,middle,2,-1.52370285987854,0.220563143491745
real_PRS,0,protein2,middle,3,-1.2656358400980632,0.220563143491745
real_PRS,0,protein2,middle,4,-1.082457955678304,0.220563143491745
real_PRS,0,protein2,middle,5,-0.1822331746419271,0.220563143491745
real_PRS,0,protein2,middle,6,-0.3914293607076009,0.220563143491745
real_PRS,0,protein2,middle,7,-0.21187206904093425,0.220563143491745
real_PRS,0,protein2,middle,8,0.016307290395100912,0.220563143491745
real_PRS,0,protein2,middle,9,-0.09583625793457032,0.220563143491745
real_PRS,0,protein2,middle,10,0.002729924519856771,0.220563143491745
real_PRS,1,protein2,n_term,0,-1.5161532243092855,0.10564745217561722
real_PRS,1,protein2,n_term,1,-1.5970656911532084,0.10564745217561722
real_PRS,1,protein2,n_term,2,-1.0646404186884562,0.10564745217561722
real_PRS,1,protein2,n_term,3,-0.9986342748006185,0.10564745217561722
real_PRS,1,protein2,n_term,4,-0.5384323368469874,0.10564745217561722
real_PRS,1,protein2,n_term,5,-0.022176841894785564,0.10564745217561722
real_PRS,1,protein2,n_term,6,-0.12005220651626587,0.10564745217561722
real_PRS,1,protein2,n_term,7,-0.23342611392339072,0.10564745217561722
real_PRS,1,protein2,n_term,8,-0.19485796292622884,0.10564745217561722
real_PRS,1,protein2,n_term,9,0.5636727809906006,0.10564745217561722
real_PRS,1,protein2,n_term,10,0.22940257390340169,0.10564745217561722
real_PRS,1,protein2,c_term,0,-1.7866823971271515,0.10564745217561722
real_PRS,1,protein2,c_term,1,-1.6880119840304058,0.10564745217561722
real_PRS,1,protein2,c_term,2,-0.9123730103174845,0.10564745217561722
real_PRS,1,protein2,c_term,3,-0.5877594153086344,0.10564745217561722
real_PRS,1,protein2,c_term,4,-0.08174695968627929,0.10564745217561722
real_PRS,1,protein2,c_term,5,0.08634278575579325,0.10564745217561722
real_PRS,1,protein2,c_term,6,-0.054017162322998045,0.10564745217561722
real_PRS,1,protein2,c_term,7,-0.1416181246439616,0.10564745217561722
real_PRS,1,protein2,c_term,8,0.006715106964111328,0.10564745217561722
real_PRS,1,protein2,c_term,9,-0.10107355117797852,0.10564745217561722
real_PRS,1,protein2,c_term,10,-0.18318742116292316,0.10564745217561722
real_PRS,1,protein2,middle,0,-1.6687931756178538,0.10564745217561722
real_PRS,1,protein2,middle,1,-1.7711400071779886,0.10564745217561722
real_PRS,1,protein2,middle,2,-0.8457719445228576,0.10564745217561722
real_PRS,1,protein2,middle,3,-0.5920726776123046,0.10564745217561722
real_PRS,1,protein2,middle,4,0.04845532576243083,0.10564745217561722
real_PRS,1,protein2,middle,5,0.737108564376831,0.10564745217561722
real_PRS,1,protein2,middle,6,0.5414661169052124,0.10564745217561722
real_PRS,1,protein2,middle,7,0.4969598134358724,0.10564745217561722
real_PRS,1,protein2,middle,8,0.45394048690795896,0.10564745217561722
real_PRS,1,protein2,middle,9,0.42675663630167643,0.10564745217561722
real_PRS,1,protein2,middle,10,-0.14330215454101564,0.10564745217561722
real_PRS,2,protein2,n_term,0,-2.324328390757243,0.9939464926719666
real_PRS,2,protein2,n_term,1,-2.332468243439992,0.9939464926719666
real_PRS,2,protein2,n_term,2,-1.725477409362793,0.9939464926719666
real_PRS,2,protein2,n_term,3,-1.3465253829956054,0.9939464926719666
real_PRS,2,protein2,n_term,4,-0.62149684826533,0.9939464926719666
real_PRS,2,protein2,n_term,5,-0.05600412686665853,0.9939464926719666
real_PRS,2,protein2,n_term,6,-0.12199892997741699,0.9939464926719666
real_PRS,2,protein2,n_term,7,0.41318455537160237,0.9939464926719666
real_PRS,2,protein2,n_term,8,0.24468919436136882,0.9939464926719666
real_PRS,2,protein2,n_term,9,0.8445166349411011,0.9939464926719666
real_PRS,2,protein2,n_term,10,1.420224706331889,0.9939464926719666
real_PRS,2,protein2,c_term,0,-1.9593067010243734,0.9939464926719666
real_PRS,2,protein2,c_term,1,-1.9367678880691528,0.9939464926719666
real_PRS,2,protein2,c_term,2,-0.8603103597958882,0.9939464926719666
real_PRS,2,protein2,c_term,3,-0.3930029551188151,0.9939464926719666
real_PRS,2,protein2,c_term,4,-0.5162256558736166,0.9939464926719666
real_PRS,2,protein2,c_term,5,-0.3386213739713033,0.9939464926719666
real_PRS,2,protein2,c_term,6,0.28065088589986165,0.9939464926719666
real_PRS,2,protein2,c_term,7,0.7230263710021972,0.9939464926719666
real_PRS,2,protein2,c_term,8,0.9231258233388265,0.9939464926719666
real_PRS,2,protein2,c_term,9,1.0603098074595134,0.9939464926719666
real_PRS,2,protein2,c_term,10,0.17197750409444174,0.9939464926719666
real_PRS,2,protein2,middle,0,-2.1395059982935587,0.9939464926719666
real_PRS,2,protein2,middle,1,-2.0361242373784383,0.9939464926719666
real_PRS,2,protein2,middle,2,-1.3490612506866455,0.9939464926719666
real_PRS,2,protein2,middle,3,-0.7223866780598959,0.9939464926719666
real_PRS,2,protein2,middle,4,-1.2536404371261596,0.9939464926719666
real_PRS,2,protein2,middle,5,-1.1216007232666017,0.9939464926719666
real_PRS,2,protein2,middle,6,-1.264224680264791,0.9939464926719666
real_PRS,2,protein2,middle,7,-0.17561419804890951,0.9939464926719666
real_PRS,2,protein2,middle,8,-0.719158124923706,0.9939464926719666
real_PRS,2,protein2,middle,9,-0.6544689734776815,0.9939464926719666
real_PRS,2,protein2,middle,10,0.21519025961558025,0.9939464926719666
real_PRS,3,protein2,n_term,0,-2.4844847520192466,0.9695648550987244
