dataset,pair_idx,region,layer,mean_margin
RRS,0,n_term,0,-1.5807465255260467
RRS,0,n_term,1,-1.6835474093755087
RRS,0,n_term,2,-1.3619992891947428
RRS,0,n_term,3,-1.169267765680949
RRS,0,n_term,4,-1.058440484603246
RRS,0,n_term,5,-0.7156295875708262
RRS,0,n_term,6,-0.597973253329595
RRS,0,n_term,7,-0.45035292307535807
RRS,0,n_term,8,-0.3412675380706787
RRS,0,n_term,9,-0.1983513355255127
RRS,0,n_term,10,-0.4656264305114746
RRS,0,middle,0,-1.590366291999817
RRS,0,middle,1,-1.6216679294904073
RRS,0,middle,2,-1.3233559846878051
RRS,0,middle,3,-1.0179204622904459
RRS,0,middle,4,-0.5347144444783528
RRS,0,middle,5,-0.563479232788086
RRS,0,middle,6,-0.6415911356608073
RRS,0,middle,7,-0.616620127360026
RRS,0,middle,8,-0.38037471771240233
RRS,0,middle,9,-0.5157072067260742
RRS,0,middle,10,-0.5358749389648437
RRS,0,c_term,0,-1.9045016149679819
RRS,0,c_term,1,-2.1121283133824664
RRS,0,c_term,2,-1.027374760309855
RRS,0,c_term,3,-0.4966924985249837
RRS,0,c_term,4,-0.06890395482381186
RRS,0,c_term,5,-0.02773259480794271
RRS,0,c_term,6,-0.23751637140909831
RRS,0,c_term,7,-0.2505905787150065
RRS,0,c_term,8,-0.09397802352905274
RRS,0,c_term,9,-0.2953120867411296
RRS,0,c_term,10,-0.3512355168660482
RRS,1,n_term,0,-1.7887602647145588
RRS,1,n_term,1,-1.7612476507822672
RRS,1,n_term,2,-1.700837008158366
RRS,1,n_term,3,-1.1697369893391927
RRS,1,n_term,4,-1.407393423716227
RRS,1,n_term,5,-1.139805507659912
RRS,1,n_term,6,-1.0783890724182128
RRS,1,n_term,7,-1.1204509417215982
RRS,1,n_term,8,-0.9253636360168457
RRS,1,n_term,9,-0.8095949808756511
RRS,1,n_term,10,-0.9180185953776042
RRS,1,middle,0,-1.8669548094272614
RRS,1,middle,1,-1.8660494764645894
RRS,1,middle,2,-1.3009612719217936
RRS,1,middle,3,-0.907359504699707
RRS,1,middle,4,-0.7095426559448242
RRS,1,middle,5,-0.9318442980448405
RRS,1,middle,6,-0.9702374140421549
RRS,1,middle,7,-0.8226288795471192
RRS,1,middle,8,-0.6510334332784017
RRS,1,middle,9,-0.6776149113972981
RRS,1,middle,10,-0.42726256052652994
RRS,1,c_term,0,-1.7889595985412599
RRS,1,c_term,1,-1.7601572672526042
RRS,1,c_term,2,-1.2638530413309732
RRS,1,c_term,3,-0.9389005978902181
RRS,1,c_term,4,-0.5837206204732259
RRS,1,c_term,5,-0.5658072153727214
RRS,1,c_term,6,-0.6404574712117513
RRS,1,c_term,7,-0.5601637522379558
RRS,1,c_term,8,-0.5111307462056478
RRS,1,c_term,9,-0.49813095728556317
RRS,1,c_term,10,-0.31835041046142576
RRS,2,n_term,0,-1.6383800665537516
RRS,2,n_term,1,-1.7388155460357666
RRS,2,n_term,2,-1.391022809346517
RRS,2,n_term,3,-1.096135107676188
RRS,2,n_term,4,-0.9118317604064942
RRS,2,n_term,5,-0.5600481569766999
RRS,2,n_term,6,-0.7540775378545125
