pair_idx,protein,region,direction,baseline_margin,patched_margin,shift
0,protein1,peak,real_into_random,-0.9992008209228516,-0.9943695068359375,0.0048313140869140625
0,protein1,peak,random_into_real,-1.2621755599975586,-1.2625961303710938,-0.00042057037353515625
0,protein1,control,real_into_random,-0.9992008209228516,-1.0033063888549805,-0.004105567932128906
0,protein1,control,random_into_real,-1.2621755599975586,-1.2581424713134766,0.004033088684082031
0,protein2,peak,real_into_random,-0.9992008209228516,-0.9904994964599609,0.008701324462890625
0,protein2,peak,random_into_real,-1.2621755599975586,-1.2660160064697266,-0.0038404464721679688
0,protein2,control,real_into_random,-0.9992008209228516,-0.9985237121582031,0.0006771087646484375
0,protein2,control,random_into_real,-1.2621755599975586,-1.2620325088500977,0.0001430511474609375
1,protein1,peak,real_into_random,-1.7220783233642578,-1.7236213684082031,-0.0015430450439453125
1,protein1,peak,random_into_real,-2.135148048400879,-2.145846366882324,-0.010698318481445312
1,protein1,control,real_into_random,-1.7220783233642578,-1.7233028411865234,-0.001224517822265625
1,protein1,control,random_into_real,-2.135148048400879,-2.1369028091430664,-0.0017547607421875
1,protein2,peak,real_into_random,-1.7220783233642578,-1.777170181274414,-0.05509185791015625
1,protein2,peak,random_into_real,-2.135148048400879,-2.0631141662597656,0.07203388214111328
1,protein2,control,real_into_random,-1.7220783233642578,-1.7243213653564453,-0.0022430419921875
1,protein2,control,random_into_real,-2.135148048400879,-2.128307342529297,0.006840705871582031
2,protein1,peak,real_into_random,-1.3018980026245117,-1.3024311065673828,-0.0005331039428710938
2,protein1,peak,random_into_real,5.184051513671875,5.18560791015625,0.001556396484375
2,protein1,control,real_into_random,-1.3018980026245117,-1.3010501861572266,0.0008478164672851562
2,protein1,control,random_into_real,5.184051513671875,5.178275108337402,-0.005776405334472656
2,protein2,peak,real_into_random,-1.3018980026245117,-0.8707237243652344,0.43117427825927734
2,protein2,peak,random_into_real,5.184051513671875,5.189998626708984,0.005947113037109375
2,protein2,control,real_into_random,-1.3018980026245117,-1.3782339096069336,-0.07633590698242188
2,protein2,control,random_into_real,5.184051513671875,5.189349174499512,0.005297660827636719
3,protein1,peak,real_into_random,-2.18328857421875,-2.177371025085449,0.005917549133300781
3,protein1,peak,random_into_real,3.46435546875,3.457339286804199,-0.007016181945800781
3,protein1,control,real_into_random,-2.18328857421875,-2.1833152770996094,-2.6702880859375e-05
3,protein1,control,random_into_real,3.46435546875,3.4713478088378906,0.006992340087890625
3,protein2,peak,real_into_random,-2.18328857421875,-2.1926565170288086,-0.009367942810058594
3,protein2,peak,random_into_real,3.46435546875,3.4731101989746094,0.008754730224609375
3,protein2,control,real_into_random,-2.18328857421875,-2.181447982788086,0.0018405914306640625
3,protein2,control,random_into_real,3.46435546875,3.464954376220703,0.000598907470703125
4,protein1,peak,real_into_random,-1.5249347686767578,-1.5255060195922852,-0.0005712509155273438
4,protein1,peak,random_into_real,1.2426300048828125,1.251276969909668,0.008646965026855469
4,protein1,control,real_into_random,-1.5249347686767578,-1.524643898010254,0.00029087066650390625
4,protein1,control,random_into_real,1.2426300048828125,1.246734619140625,0.0041046142578125
4,protein2,peak,real_into_random,-1.5249347686767578,-1.523756980895996,0.0011777877807617188
4,protein2,peak,random_into_real,1.2426300048828125,1.2211837768554688,-0.02144622802734375
